Title,Job Link,Job ID,Job Category ID,Company Name,Promotion Text,Location,Experience Required,Deadline,Vacancy,Age,Salary,Published,Additional Requirements,Education,Remuneration Package,Employment Status,Gender
District Facilitator (Re-advertisement),https://jobs.bdjobs.com/jobdetails/?id=1392899&fcatId=12&ln=1,1392899,12,LAMB,N/A,"Rajshahi, Rangpur",At least 6 year(s),11 Aug2025,1,At most 40 years,Tk. 48100 (Monthly),06 Aug 2025,"Age At most 40 years; Master`s degree pass but MPH will be preferred.; Candidates should have a minimum of 6 years of experience in the relevant field with a preference for candidates who have training or experience in maternal and child health or reproductive health.; The applicant should have good computer knowledge, especially in MS Word, MS Excel, and MS PowerPoint, and excellent spoken and written English language skills are essential, as well as the ability to produce quality reports.",Masters,,Full Time,N/A
"Senior Project Officer, Production, LSDP, Bhasan Char",https://jobs.bdjobs.com/jobdetails/?id=1393028&fcatId=12&ln=1,1393028,12,BRAC,,Hatiya,At least 2 year(s),15 Aug2025,--,N/A,Negotiable,06 Aug 2025,,Bachelor of Science (BSc) in Textile Engineering; BSc in Textile Engineering or any other related subject from any UGC approved university or Institute,"Mobile bill,Weekly 2 holidays; Festival Bonus: 2; Health & Life Insurance; Paternity/ Maternity leave; Free Accomodation; others as per Organisation policy.",Contractual,N/A
"Assistant Technical Specialist, Civil Engineering, LSDP, Bhasan Char",https://jobs.bdjobs.com/jobdetails/?id=1393009&fcatId=12&ln=1,1393009,12,BRAC,,Hatiya,At least 3 year(s),15 Aug2025,--,N/A,Negotiable,06 Aug 2025,"Sound academic knowledge in relevant subject; Knowledge on livelihood, coordination, monitoring and evaluation; Show adeptness in report writing and presentation skills.; Good understanding on organizational safety and safeguarding issues.; Knowledge on people management.; Ability to establish and maintain good working relationships with stakeholders in a sensitive environment.; Effective communication and presentation skills.; Have computer skills with all Microsoft Office programs (MS Word, Power Point, and Excel).; Excellent influencing, negotiating and communication skills.; Excellent organization, and coordination skills.; Proactive and ability to think out of box.; Ability to take challenges in any adverse situation.; Demonstrated ability to think technically, prioritize and meet deadlines in a challenging environment; must be culturally sensitive.; Ability to operate in a multipurpose organization, across functions and work on own initiative and collaboratively as part of diverse teams.; Strong technical proficiency in engineering software and tools for design, analysis, and project management.; Knowledge of international standards and best practices in civil engineering, construction, and disaster risk reduction.; Excellent communication, interpersonal, and cross-cultural skills, with the ability to work effectively in multicultural teams and diverse environments.; Fluency in English is required.; Commitment to humanitarian principles and values, with a passion for making a positive impact on the lives of vulnerable populations.",Bachelor of Science (BSc) in Civil Engineering; BSc in Civil Engineering or any other related subject from any UGC approved university or Institute,"T/A,Mobile bill,Weekly 2 holidays; Festival Bonus: 2; Health & Life Insurance; Paternity/ Maternity leave; Free Accomodation; others as per Organisation policy.",Contractual,N/A
"Assistant Technical Specialist, Solar, LSDP, Bhasan Char",https://jobs.bdjobs.com/jobdetails/?id=1393004&fcatId=12&ln=1,1393004,12,BRAC,,Hatiya,At least 3 year(s),15 Aug2025,--,N/A,Negotiable,06 Aug 2025,"Sound academic knowledge in relevant subject; Knowledge on livelihood, coordination, monitoring and evaluation; Show adeptness in report writing and presentation skills.; Good understanding on organizational safety and safeguarding issues.; Knowledge on people management.; Ability to establish and maintain good working relationships with stakeholders in a sensitive environment.; Effective communication and presentation skills.; Have computer skills with all Microsoft Office programs (MS Word, Power Point, and Excel).; Excellent influencing, negotiating and communication skills.; Excellent organization, and coordination skills.; Proactive and ability to think out of box.; Ability to take challenges in any adverse situation.; Demonstrated ability to think technically, prioritize and meet deadlines in a challenging environment; must be culturally sensitive.; Ability to operate in a multipurpose organization, across functions and work on own initiative and collaboratively as part of diverse teams.",Bachelor of Science (BSc); Bachelors in Electrical Engineering or any other related subject from any UGC approved university or Institutition,"T/A,Mobile bill,Weekly 2 holidays; Festival Bonus: 2; Health & Life Insurance; Paternity/ Maternity leave; Free Accomodation; others as per Organisation policy.",Contractual,N/A
Branch Accountant,https://jobs.bdjobs.com/jobdetails/?id=1392975&fcatId=12&ln=1,1392975,12,Parashmoni Shamajik Unnayan Shangstha,N/A,Mymensingh,At least 1 year(s),4 Sep2025,--,At most 45 years,Tk. 18600 (Monthly),05 Aug 2025,Age At most 45 years; বিবিএ/বিকম (একাউন্টিং/ফিন্যান্স)।; সিজিপিএ ২.৫০/৪.০০।; মাইক্রোসফ্ট অফিসে দক্ষ হতে হবে(বিশেষত মাইক্রোসফট এক্সেলে)।; বিশ্লেষণ এবং সমস্যা সমাধানের দক্ষতা।; সুক্ষ্ম পর্যবেক্ষণ এবং অনুধাবন দক্ষতা।; ভালো রিপোর্টিং এবং বুঝানোর দক্ষতা।,Bachelor of Business Administration (BBA) in Accounting; Bachelor of Business Administration (BBA) in Finance; Bachelor of Commerce (BCom) in Accounting; Bachelor of Commerce (BCom) in Finance; Bachelor of Business Administration (BBA),"Provident fund,Gratuity; Salary Review: Yearly; Festival Bonus: 3; Salary Review: Yearly; Festival Bonus: ৩; শিক্ষানবীশ কাল ১-৩ মাস ১০ হাজার টাকা।; স্থায়ীকরণের পর,বেতন সর্বসাকুল্যে ২০,৬০০ টাকা।বোনাস: বেতনের সাথে বছরে ২টি উৎসব বোনাস (বেসিকের সমান),১টি বৈশাখী ভাতা (বেসিকের ২০%) এবং রমজানে ইফতার বিল।; অন্যান্য সুবিধা:নিজস্ব বাহন (সাইকেল/ই-বাইক/স্কুটি/মটরসাইকেল) থাকা বাধ্যতামূলক। বাহনের মেরামত বিল দেয়া হবে। নিজস্ব মটরসাইকেল এবং বৈধ ড্রাইভিং লাইসেন্স থাকলে স্থায়ীকরণের পর মেরামত বিলের পাশাপাশি শর্তসাপেক্ষে জ্বালানি বিল প্রদান করা হবে।চাকরি বিধিমালা অনুযায়ী প্রভিডেন্ট ফান্ড গ্র্যাচুয়িটি ও অন্যান্য সুযোগ-সুবিধা প্রদান করা হবে।ক্রেডিট অফিসারের জন্য ১২ হাজার টাকা ফেরতযোগ্য জামানত এবং অভিভাবক কর্তৃক ৩০০ টাকার নন জুডিশিয়াল স্ট্যাম্পে অঙ্গীকার নামাসহ প্রযোজ্য অন্যান্য জামানত প্রদান বাধ্যতামূলক।",Full Time,Only Male
Credit Officer (ক্রেডিট অফিসার),https://jobs.bdjobs.com/jobdetails/?id=1392974&fcatId=12&ln=1,1392974,12,Parashmoni Shamajik Unnayan Shangstha,N/A,Mymensingh,At least 1 year(s),4 Sep2025,--,At least 18 years,Tk. 20600 (Monthly),05 Aug 2025,Age At least 18 years; জাতীয় পর্যায়ের কোনো NGO অথবা PKSF আর কোনো সহযোগী সংস্থায় মাইক্রোক্রেডিট এ অভিজ্ঞতা থাকতে হবে,Higher Secondary; Bachelor/Honors; Masters,Salary Review: Yearly; Festival Bonus: 2,Full Time,N/A
Assistant Branch Manager (সহকারী শাখা ব্যবস্থাপক),https://jobs.bdjobs.com/jobdetails/?id=1392972&fcatId=12&ln=1,1392972,12,Parashmoni Shamajik Unnayan Shangstha,N/A,Mymensingh,At least 3 year(s),4 Sep2025,--,At most 40 years,Tk. 25000 (Monthly),05 Aug 2025,Age At most 40 years; PKSF এর সহযোগী NGO তে ক্রেডিট অফিসার হিসেবে কমপক্ষে 3 বছরের অভিজ্ঞতা থাকতে হবে।,Bachelor/Honors,"Provident fund,Gratuity,Performance bonus; Salary Review: Yearly; Festival Bonus: 3; শিক্ষানবীশ কাল ১-৩ মাস, ১২ হাজার টাকা। স্থায়ীকরণের পর সর্বসাকুল্যে ২৫ হাজার টাকা।; স্থায়ীকরণের পর মূল বেতনের সাথে ২ টি উৎসব বোনাস (বেসিকের সমান) এবং ১ টি বৈশাখী ভাতা (বেসিকের ২০%)।; আবাসন ফ্রি।; রমজানে ইফতারী বিল দেয়া হয়।; নিজস্ব বাহন (স্কুটি/মটরসাইকেল) থাকা বাধ্যতামূলক।; বৈধ ড্রাইভিং লাইসেন্স থাকলে স্থায়ীকরণের পর জ্বালানি বিল প্রদান করা হবে।; চাকরি বিধিমালা অনুযায়ী প্রভিডেন্ট ফান্ড গ্র্যাচুয়িটি, কল্যাণ তহবিল ও অন্যান্য সুযোগ-সুবিধা প্রদান করা হবে।; ক্রেডিট অফিসার হিসেবে কমপক্ষে ৩ বছরের অভিজ্ঞতা থাকতে হবে। অভিজ্ঞদের জন্য শিক্ষাগত যোগ্যতা শিথিল যোগ্য।; নিয়োগ প্রাপ্ত শাখা ব্যবস্থাপকের জন্য ১২ হাজার টাকা ফেরতযোগ্য জামানত এবং অভিভাবক কর্তৃক ৩০০ টাকার নন জুডিশিয়াল স্ট্যাম্পে অঙ্গীকার নামা ও অভিভাবকের ব্যাংক চেক সহ প্রযোজ্য অন্যান্য জামানত প্রদান বাধ্যতামূলক।; শাখা পরিচালনার অভিজ্ঞতা থাকলে শাখা ব্যাবস্থপক হিসেবে বিশেষ বিবেচনা যোগ্য।",Full Time,N/A
"Senior Officer, SBCC, BRAC Health Programme (Project Staff)",https://jobs.bdjobs.com/jobdetails/?id=1392919&fcatId=12&ln=1,1392919,12,BRAC,"Responsible to design, implement, and monitor Social and Behavior Change Communication (SBCC) strategies to promote noncommunicable diseases (NCD) prevention and healthy lifestyle practices at community and facility levels.",Dhaka,At least 2 year(s),11 Aug2025,--,N/A,Negotiable,05 Aug 2025,"2 years of experience in health communication, preferably in SBCC or NCD-related projects.; Understanding of SBCC principles, frameworks, and health communication strategies.; Knowledge of NCDs, risk factors, and behavioral prevention approaches.; Familiarity with community engagement methods and participatory communication.Capacity to design engaging IEC/BCC materials and tools.","Bachelor degree in Public Health, Social Sciences, Communication, or related fields",,Contractual,N/A
"Medical Officer, NCD, BRAC Health Programme (Project Staff)",https://jobs.bdjobs.com/jobdetails/?id=1392913&fcatId=12&ln=1,1392913,12,BRAC,"Ensure effective field-level coordination and technical support for the 360 Degree NCD Care Project by working closely with local government health officials and BRAC`s rural health teams to strengthen NCD prevention, screening, referral, and follow-up services.",Anywhere in Bangladesh,At least 2 year(s),11 Aug2025,--,N/A,Negotiable,05 Aug 2025,"Minimum 2 years of experience in health communication, preferably in SBCC or NCD-related projects.; Capacity to design engaging IEC/BCC materials and tools; Understanding of SBCC principles, frameworks, and health communication strategies.; Knowledge of NCDs, risk factors, and behavioral prevention approaches.; Familiarity with community engagement methods and participatory communication",Bachelor of Medicine and Bachelor of Surgery(MBBS); Master of Public Health (MPH) will get preference,,Contractual,N/A
Program Officer,https://jobs.bdjobs.com/jobdetails/?id=1392912&fcatId=12&ln=1,1392912,12,Eco-Social Development Organization (ESDO),"The Program Officer will be responsible for planning, implementation, monitoring, and reporting of project activities under ESDO`s various donor-funded projects.",Anywhere in Bangladesh,At least 3 year(s),16 Aug2025,20,At most 35 years,Tk. 30000 (Monthly),05 Aug 2025,"Age At most 35 years; Minimum 3 years of practical experience in implementing donor-funded projects, preferably in NGO/INGO settings.; Direct experience working with international donors or international donors funded projects.; Strong working competency of Microsoft Office & ICT; Willing to drive motorcycle and must have valid motorcycle driving licenses.; Strong commitment to work with the extreme poor in the most vulnerable localities.; S/he should have been able to fluently communicate in English.; Good networking and coordinating abilities.",Masters,,Full Time,N/A
Study Coordinator,https://jobs.bdjobs.com/jobdetails/?id=1392907&fcatId=12&ln=1,1392907,12,Médecins Sans Frontières (MSF),,Ukhia,At least 3 year(s),13 Aug2025,1,N/A,Tk. 183300 (Monthly),05 Aug 2025,"Essential:Masters in Epidemiology, Social Science, Public Health or related subject with extensive training in statistics and epidemiology; Experience:Minimum 3 years’ experience in conducting Health Related Research.; Desirable:Experience in Qualitative Research; Essential:English and Bangla; Desirable:Understanding of Rohingya language",Master of Social Science (MSS); Master of Science (MSc) in Public Health,,Full Time,N/A
Maintenance Agent,https://jobs.bdjobs.com/jobdetails/?id=1392894&fcatId=12&ln=1,1392894,12,Médecins Sans Frontières (MSF),"Perform repair / maintenance / construction works, according to the supervisor`s instructions and MSF standards, in order to ensure proper operations and prevent faults / deterioration of MSF equipment / instal-lations / infrastructures.",Chattogram Sadar,At least 2 year(s),13 Aug2025,1,N/A,Tk. 30895 (Monthly),05 Aug 2025,"Bachelor's Degree/Technical Diploma Essential; 2 years' experience in relevant field Essential, MSF or NGO Experience Desirable; Bangla and Chittagonian languages are Essential. English language Desirable.; Essential: Ability to do basic repairs",Bachelor degree in any discipline; Diploma,,Full Time,N/A
Programme Manager,https://jobs.bdjobs.com/jobdetails/?id=1392753&fcatId=12&ln=1,1392753,12,Concern Worldwide,,Ukhia,At least 5 year(s),9 Aug2025,--,N/A,Tk. 145525 (Monthly),04 Aug 2025,N/A,Bachelor of Science (BSc) in Agriculture; Master of Science (MSc) in Agriculture; Bachelors and Masters degree in Nutrition / Agriculture,"Monthly Gross Salary: BDT 145,525 /-; Standard benefits as per organizational policy: Festival allowance (02), Baisakhi allowance, Group Life and Hospitalisation Insurance coverages, OPD coverage, Mobile ceiling and other admissible benefits as per organisational policy.",Full Time,N/A
Team Leader,https://jobs.bdjobs.com/jobdetails/?id=1392806&fcatId=12&ln=1,1392806,12,Swisscontact Bangladesh,,Dhaka,At least 10 year(s),19 Aug2025,--,N/A,N/A,04 Aug 2025,"At least 10 years of relevant experience, with 5 years in leadership roles.; Proven experience in managing urban governance, migration, or resilience-focused development projects.; Strategic leadership experience in international development programmes.; Experience working with municipalities, government ministries, and donor agencies.; Excellent verbal and written communication skills in English; proficiency in Bangla is preferred.; Excellent computer literacy in MS Office programmes (specifically Word, Excel, PowerPoint and Outlook);; Works with trustworthiness and integrity and is committed to Swisscontact`s core values; and; Demonstrates awareness and sensitivity to gender and diversity (including sensitivity towards differently abled individuals).; Understanding of climate migration, urban resilience, and municipal planning systems.; Understanding of the global and regional policy dialogues and debates on climate and migration, climate financing and relevant topics.; Knowledge of local government and municipality system and relevant policies, departments and directives. learning methods.; Experience applying gender-responsive, inclusive, and participatory planning approaches.; Familiarity with DCED-aligned Monitoring and Results Measurement systems.; Experience with donor reporting, knowledge management, and public policy engagement.; Proven experience of large-scale project budget preparation and management is mandatory.; Experience in applying adaptive management tools and processes for systemic results.; Excellent analytical, negotiating, problem solving and decision-making skills; and; Good understanding of working principles and methods of SDC will be valuable.; Strong partnership building skills and work experience with diverse stakeholders.; Experience in mentoring and coaching team of young professionals; and; Experience in managing working relationships with public agencies, private sector stakeholders and donors.; Field visits play a large part in the incumbent’s activities; as such, it is expected that the incumbent is willing and able to take part in such activities, as needed and sometimes under short notice.; This will be applicable in accordance with the Swisscontact Staff Manual.",Master of Social Science (MSS) in Economics; Master of Social Science (MSS); Master of Science (MSc) in Development Studies,N/A,Full Time,N/A
Officer / Senior Officer-Business Administration,https://jobs.bdjobs.com/jobdetails/?id=1392812&fcatId=12&ln=1,1392812,12,Swisscontact Bangladesh,,Dhaka,At least 1 year(s),19 Aug2025,--,N/A,N/A,04 Aug 2025,"Good verbal and written communication skills in English and Bangla.; Excellent computer literacy in MS Office programmes (specifically Word, Excel, PowerPoint and Outlook).; Is a team player but also has the ability to work independently with limited supervision.; Excellent organisational skills and ability to multitask effectively under pressure.; Demonstrates curiosity to learn and acquire knowledge from vastly different. sources.; Results orientated and good reporting skills.; Attentive to details and quality of work.; Works with trustworthiness and integrity and is committed to Swisscontact's core values.; Demonstrates awareness and sensitivity to gender and diversity (including sensitivity towards people with disability).; Must be willing and able to take part in field activities as/when needed, sometimes under short notice.",Bachelor of Business Administration (BBA); A bachelor’s degree in Business Administration or any other relevant discipline with minimum 1 year professional experience in similar role(s) preferably in NGO/INGO.,N/A,Full Time,N/A
Medical Assistant (Maternity Backup),https://jobs.bdjobs.com/jobdetails/?id=1392655&fcatId=12&ln=1,1392655,12,Gonoshasthaya Kendra MI,"T/A,Mobile bill,Insurance,Weekly 2 holidaysGroup Life Insurance Policy.Annual Leave and Sick Leave Facility.Mobile Bill Allowance.Weekly 2 days holidays.Travel Allowance.Perdiem Policy.","Teknaf, Ukhia",At least 3 year(s),17 Aug2025,1,24 to 45 years,Tk. 40000 - 50000 (Monthly),04 Aug 2025,Age 24 to 45 years; Diploma in Medical Assistant (MATS) with BMDC registration from any reputed MATS/ Institute.; Minimum 3 (Three) Years of working Experience in I/NGOs with Humanitarian and Development Sectors.,Diploma in Medical,"T/A,Mobile bill,Weekly 2 holidays,Insurance",Contractual,Only Female
Admin Officer,https://jobs.bdjobs.com/jobdetails/?id=1392793&fcatId=12&ln=1,1392793,12,Bangladesh Bondhu Foundation (BONDHU),N/A,Dhaka,At least 2 year(s),14 Aug2025,2,N/A,Negotiable,04 Aug 2025,Minimum 2 years of experience in administrative work; Prior experience in NGO or development organization is preferred,Bachelor/Honors; Masters; Bachelor’s degree in any discipline (Master’s preferred),Competitive salary and yearly increments.; Festival bonuses as per company policy.; Provident fund and other benefits.,Full Time,N/A
MIS and Documentation Officer (Re-advertisement),https://jobs.bdjobs.com/jobdetails/?id=1392768&fcatId=12&ln=1,1392768,12,SKS Foundation,,Gaibandha,At least 3 year(s),9 Aug2025,1,At most 40 years,Tk. 50000 (Monthly),04 Aug 2025,Age At most 40 years; The candidate should have a minimum of three (3) years of work experience in monitoring and evaluation/MIS and documentation in a development organization that works in Bangladesh.; Candidate having relevant experience of working in donor-funded projects would be preferred.; Experience of working in enterprise development related projects will be an added advantage.; Should have Good operating skills in Microsoft Office package;; Should have excellent communication and report writing skills both in Bangla and English.; Strong technical knowledge in reporting through online-based management information system;; Excellent competency in working with MS Office packages;; Excellent competency in performing data collection using paperless technologies like Open Data Kits/KoboToolbox;; Strong analytical capacity using SPSS/STATA would be and added advantage;; Good interpersonal and communication skills.,Bachelor/Honors; Masters; Bachelor (Hon’s) and Master’s degree in social science/Development studies/Statistics from a UGC approved University.,,Full Time,N/A
Specialized Nurse,https://jobs.bdjobs.com/jobdetails/?id=1392773&fcatId=12&ln=1,1392773,12,Médecins Sans Frontières (MSF),"Providing nursing care, treatment and follow-up of patients, according to doctors` prescriptions, protocols applied in service and universal hygiene standards/precautions, in order to ensure the quality and continuity of care for the targeted population, especially for the MH Department.",Ukhia,At least 2 year(s),13 Aug2025,1,N/A,Tk. 68000 (Monthly),04 Aug 2025,Essential recognized 3-years nurse degree/diploma with valid registration from BNMC; Desirable 2 years of previous experience in MSF; Desirable experience in supervising and training others in a team setting; Désirable previous IPC role or experience; Essential 2 years other NGO experience; Computer literacy Essential; Chittagonian Local language Desirable. English language Essential.,Bachelor of Science (BSc) in Nursing,,Full Time,N/A
Project Manager/Value Chain Facilitator,https://jobs.bdjobs.com/jobdetails/?id=1392758&fcatId=12&ln=1,1392758,12,Organization for the Poor Community Advancement (OPCA),,"Chattogram, Khagrachhari",At least 5 year(s),12 Aug2025,1,At most 40 years,Tk. 50000 (Monthly),04 Aug 2025,Age At most 40 years; কৃষি বিষয়ক উন্নয়ন প্রকল্পে (গোল মরিচ) প্রকল্প ব্যবস্থাপক হিসেবে কাজের ৫ বছরের অভিজ্ঞতা থাকতে হবে।,Master of Science (MSc) in Agriculture; যেকোন স্বীকৃত কৃষি বিশ্ববিদ্যালয় অথবা কৃষি কলেজ থেকে কৃষি বিষয়ে স্নাতকোত্তর,বাজেট মোতাবেক,Full Time,N/A
কনসালটেন্ট (চূড়ান্ত মূল্যায়ন),https://jobs.bdjobs.com/jobdetails/?id=1392755&fcatId=12&ln=1,1392755,12,Organization for the Poor Community Advancement (OPCA),,"Fatikchhari, Mirsharai, Ramgarh",At least 7 year(s),12 Aug2025,--,N/A,Negotiable,04 Aug 2025,উন্নয়ন প্রকল্প মূল্যায়নে ন্যূনতম ৭ বছরের অভিজ্ঞতা।; কৃষি খাত/মসলা চাষ/গ্রামীণ অর্থনীতি বিষয়ে পূর্ব অভিজ্ঞতা অগ্রাধিকারযোগ্য।; তথ্য বিশ্লেষণ ও প্রতিবেদন প্রস্তুতিতে দক্ষতা।,PhD in Agriculture; কৃষি অর্থনীতি প্রাসঙ্গিক বিষয়ে পি.এইচ.ড়ি ডিগ্রী,"মোট সম্মানী: ৳ ৩,০০,০০০ (তিন লক্ষ টাকা) (সহ সকল প্রকার খরচ ও ট্যাক্স/ভ্যাট সহকারে)।",Full Time,N/A
Logistics Supervisor,https://jobs.bdjobs.com/jobdetails/?id=1392718&fcatId=12&ln=1,1392718,12,Médecins Sans Frontières (MSF),"Supervising the daily logistics activities and providing maintenance to the MSF equipment, facilities and infrastructures, according to MSF standards and protocols in order to maintain the facilities in perfect conditions and collaborate in the development of the mission.",Chattogram Sadar,Na,12 Aug2025,1,N/A,Tk. 68000 (Monthly),04 Aug 2025,"Formal Technical Training in Logistics, Fleet, or Facility Maintenance is an asset.; Essential 2 years' experience in similar field. Desirable one year experience in MSF or 2 years in a similar post out of MSF; English and Bangla language essential; Chittagonian language desirable; Essential: Computer literacy (MS Office and Outlook365)","Essential Engineering Degree (Construction, Mechanic, Electrical, ICT, Industrial)",,Full Time,N/A
"ট্রেইনি অফিসার, মাইক্রোফাইন্যান্স (মাঠ পর্যায়ের কাজের জন্য)",https://jobs.bdjobs.com/jobdetails/?id=1392703&fcatId=12&ln=1,1392703,12,Shakti Foundation for Disadvantaged Women.,,Anywhere in Bangladesh,Na,3 Sep2025,200,25 to 35 years,Tk. 20500 - 25500 (Monthly),04 Aug 2025,Age 25 to 35 years,Bachelor/Honors,"T/A,Mobile bill,Performance bonus,Provident fund,Weekly 2 holidays,Gratuity; Salary Review: Yearly; Lunch Facilities: Partially Subsidize; Festival Bonus: 3",Full Time,N/A
"Watchman (2 Female, 7 Male)",https://jobs.bdjobs.com/jobdetails/?id=1392698&fcatId=12&ln=1,1392698,12,Médecins Sans Frontières (MSF),,Chattogram Sadar,Na,12 Aug2025,9,N/A,Tk. 28086 (Monthly),04 Aug 2025,"None is required, desirable literacy; None is required; Bangla essential, desirable basic knowledge of English; Chittagongian Dialect Desirable.",N/A,,Full Time,N/A
Pharmacist,https://jobs.bdjobs.com/jobdetails/?id=1392692&fcatId=12&ln=1,1392692,12,"Dhaka Ahsania Mission, Health Sector",N/A,Munshiganj,At least 1 year(s),11 Aug2025,1,At most 45 years,Tk. 20000 - 20000 (Monthly),04 Aug 2025,Age At most 45 years; At least 1 year(s); Educational Qualification of Highly Experienced Person will be Considerable; Freshers are also encouraged to apply.,3 years Diploma in Pharmacy Under Bangladesh Pharmacy Council.,N/A,Full Time,N/A
কনসালট্যান্ট (ভ্যালু চেইন উন্নয়ন),https://jobs.bdjobs.com/jobdetails/?id=1392670&fcatId=12&ln=1,1392670,12,Organization for the Poor Community Advancement (OPCA),,"Fatikchhari, Mirsharai, Ramgarh",At least 5 year(s),12 Aug2025,1,N/A,Tk. 100000 (Monthly),04 Aug 2025,"ভ্যালু চেইন উন্নয়ন বা মসলা প্রক্রিয়াজাতকরণে কমপক্ষে ৫ বছরের বাস্তব অভিজ্ঞতা; গোলমরিচ বা অনুরূপ উচ্চমূল্যের ফসল নিয়ে কাজের অভিজ্ঞতা; কৃষক দল, ক্ষুদ্র উদ্যোক্তা ও বাজার সংশ্লিষ্ট অংশীজনদের সঙ্গে কাজের অভিজ্ঞতা; বাংলা ও ইংরেজি উভয় ভাষায় ভালো যোগাযোগ দক্ষতা; পিকেএসএফ-সহাযোগী প্রকল্পে কাজের অভিজ্ঞতা অতিরিক্ত সুবিধা হিসেবে বিবেচিত হবে","Master of Science (MSc) in Agriculture; কৃষি অর্থনীতি, গ্রামীণ উন্নয়ন বা সমমানের বিষয়ে স্নাতকোত্তর ডিগ্রি","বাজেট মোতাবেক; পেমেন্ট ধাপ১ম কিস্তি - ২০% (প্রারম্ভিক প্রতিবেদন জমা দিলে)২য় কিস্তি - ৩০% (প্রসেসিং নির্দেশিকা জমা দিলে)৩য় কিস্তি - ৫০% (চূড়ান্ত প্রতিবেদন জমা ও অনুমোদনের পর)সম্মানী: প্রতি মাসে ১,০০,০০০/- টাকা, মোট ৫,০০,০০০/- টাকা",Full Time,N/A
Hospital Manager,https://jobs.bdjobs.com/jobdetails/?id=1392658&fcatId=12&ln=1,1392658,12,"Dhaka Ahsania Mission, Health Sector",N/A,Anywhere in Bangladesh,At least 3 year(s),11 Aug2025,1,At most 45 years,Tk. 30000 - 30000 (Monthly),04 Aug 2025,Age At most 45 years; Minimum 3 years of experience in the relevant field. Experience in the development field will be preferable.,Masters degree in any discipline; Masters in any discipline from any reputed university.,N/A,Full Time,N/A
Project Manager,https://jobs.bdjobs.com/jobdetails/?id=1392618&fcatId=12&ln=1,1392618,12,Young Power in Social Action (YPSA),N/A,"Cox`s Bazar, Ukhia",5 to 7 year(s),12 Aug2025,1,N/A,Tk. 93966 (Monthly),04 Aug 2025,"At least 5-7 years of experience in journalism, especially in multimedia format or in television.","Bachelor/Honors; At least Graduate from any discipline, preferably Journalism and Communication",N/A,Full Time,N/A
Scope of Work (SOW) for Annual Audit,https://jobs.bdjobs.com/jobdetails/?id=1391179&fcatId=12&ln=1,1391179,12,Institute of Informatics and Development (IID),,Anywhere in Bangladesh,Na,20 Aug2025,--,N/A,N/A,04 Aug 2025,N/A,N/A,N/A,Full Time,N/A
Trainer,https://jobs.bdjobs.com/jobdetails/?id=1392611&fcatId=12&ln=1,1392611,12,Resource Integration Centre (RIC),N/A,Dhaka,At least 2 year(s),21 Aug2025,5,At most 35 years,Negotiable,04 Aug 2025,"Age At most 35 years; Minimum 2–3 years of experience in conducting training/workshops, preferably in the development or NGO microfinance sector.; Experience working with community-based organizations or donor-funded projects will be an added advantage.; Strong facilitation and communication skills.; Ability to design participatory training materials.; Good command of MS Office, especially MS Word, PowerPoint, and Excel, with excellent typing speed in both Bangla and English.; Willingness to travel frequently to field locations.; Skill in soft skills","Bachelor of Social Science (BSS) in Development Studies; Bachelor of Business Studies (BBS) in Accounting; Bachelor of Social Science (BSS); Master of Social Science (MSS) in Development Studies; Master of Business Studies (MBS) in Accounting; Bachelor’s or Master’s degree in Education, Development Studies, Social Science, Accounting, or a related field.","T/A,Mobile bill,Medical allowance,Provident fund,Weekly 2 holidays,Gratuity; Salary Review: Yearly; Festival Bonus: 3",Full Time,N/A
জরিপ কর্মী,https://jobs.bdjobs.com/jobdetails/?id=1392597&fcatId=12&ln=1,1392597,12,Socioconsult Ltd,,Rajshahi,Na,10 Aug2025,25,N/A,Tk. 25000 (Monthly),04 Aug 2025,N/A,N/A,"প্রশিক্ষণ ভাতা: প্রশিক্ষণ চলাকালীন প্রতিদিন ৫০০/- টাকা প্রশিক্ষণ ভাতা প্রদান করা হবে।; মাসিক বেতন ও ভাতা: বেতন: ২৫,০০০/- টাকা (সর্বসাকুল্যে); জরিপ কাজের জন্য যাতায়াত ভাতা: ৩,০০০/- টাকা।; পরবর্তী সুযোগ: জরিপ কাজের মূল্যায়নের ভিত্তিতে পরবর্তীতে ২-৩ মাসের জন্য ""Community Organizer"" পদে নিয়োগের সুযোগ থাকবে।",Full Time,N/A
Districts Coordinator (Program and Training),https://jobs.bdjobs.com/jobdetails/?id=1392574&fcatId=12&ln=1,1392574,12,Resource Development Foundation (RDF),,"Narayanganj, Narsingdi",At least 2 year(s),9 Aug2025,2,At most 42 years,Tk. 40000 (Monthly),04 Aug 2025,"Age At most 42 years; Minimum 02 years NGO experience in the relevant field.; Experience in working with children and youth, TIP, CEFM and CP areas.; Willing to drive motor cycle with valid driving license.; Adequate knowledge of Microsoft Word, Excel, PowerPoint, email, etc.; Excellent spoken and written English language skills.; Willing to travel and work in the most remote Area",Bachelor/Honors; Masters; Masters/Bachelor degree in any other discipline from any recognized university.,Festival Bonus and annual increment as per RDF HR Policy.,Contractual,N/A
